Tail_Number, Model, Manufacturer, Engine_Type, Aircraft_Type, Production_Year, Issue_Date, Status, Ownership
N705JB,A320-232,AIRBUS INDUSTRIE,Turbo-Jet,Fixed Wing Multi-Engine,2008,2008-02-29,V,C
N705SK,CL-600-2C10,BOMBARDIER INC,Turbo-Fan,Fixed Wing Multi-Engine,2004,2005-10-18,V,C
N705SW,737-7H4,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1998,1998-04-28,V,C
N705TW,757-231,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1997,1998-07-30,V,C
N705UW,A319-112,AIRBUS INDUSTRIE,Turbo-Jet,Fixed Wing Multi-Engine,,1998-12-22,V,C
N706AS,737-490,BOEING,Turbo-Jet,Fixed Wing Multi-Engine,1998,1998-07-23,V,C
N706EV,CL-600-2C10,BOMBARDIER INC,Turbo-Fan,Fixed Wing Multi-Engine,2002,2002-09-20,V,C
N706JB,A320-232,AIRBUS INDUSTRIE,Turbo-Jet,Fixed Wing Multi-Engine,2008,2008-03-27,V,C
N706RG,EMB-135LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,1999,1999-11-23,V,C
N706SK,CL-600-2C10,BOMBARDIER INC,Turbo-Fan,Fixed Wing Multi-Engine,2004,2005-10-18,V,C
N706SW,737-7H4,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1998,1998-07-08,V,C
N706TW,757-2Q8,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1997,1997-02-18,V,C
N707EB,EMB-135LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,1999,1999-11-23,V,C
N707EV,CL-600-2C10,BOMBARDIER INC,Turbo-Fan,Fixed Wing Multi-Engine,2002,2002-10-09,V,C
N707SA,737-7H4,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1998,1998-12-08,V,C
N707SK,CL-600-2C10,BOMBARDIER INC,Turbo-Fan,Fixed Wing Multi-Engine,1999,2006-10-25,V,C
N707TW,757-2Q8,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1997,1997-02-25,V,C
N708AE,EMB-135LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,1999,1999-12-21,V,C
N708AS,737-490,BOEING,Turbo-Jet,Fixed Wing Multi-Engine,1999,1999-02-25,V,C
N708CA,CL-600-2B19,CANADAIR,Turbo-Jet,Fixed Wing Multi-Engine,1998,2007-08-23,V,C
N708EV,CL-600-2C10,BOMBARDIER INC,Turbo-Fan,Fixed Wing Multi-Engine,2002,2002-10-23,V,C
N708SA,747-2B5F,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1988,2006-07-14,V,C
N708SK,CL-600-2C10,BOMBARDIER INC,Turbo-Fan,Fixed Wing Multi-Engine,2004,2005-10-17,V,C
N708UW,A319-112,AIRBUS INDUSTRIE,Turbo-Jet,Fixed Wing Multi-Engine,1999,1999-03-10,V,C
N709BR,CL-600-2B19,CANADAIR,Turbo-Jet,Fixed Wing Multi-Engine,2003,2004-12-20,V,C
N709CA,CL-600-2B19,CANADAIR,Turbo-Jet,Fixed Wing Multi-Engine,1998,2008-05-14,V,F
N709EV,CL-600-2C10,BOMBARDIER INC,Turbo-Fan,Fixed Wing Multi-Engine,2002,2002-12-05,V,C
N709GB,EMB-135LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2000,2000-01-13,V,C
N709SK,CL-600-2C10,BOMBARDIER INC,Turbo-Fan,Fixed Wing Multi-Engine,2004,2005-10-17,V,C
N709SW,737-7H4,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1998,1998-11-23,V,C
N709TW,757-2Q8,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1997,1997-05-15,V,C
N709UW,A319-112,AIRBUS INDUSTRIE,Turbo-Jet,Fixed Wing Multi-Engine,1999,1999-04-06,V,C
N710BR,CL-600-2B19,CANADAIR,Turbo-Jet,Fixed Wing Multi-Engine,2003,2004-12-20,V,C
N710CA,CL-600-2B19,CANADAIR,Turbo-Jet,Fixed Wing Multi-Engine,1998,2008-01-09,V,C
N710EV,CL-600-2C10,BOMBARDIER INC,Turbo-Fan,Fixed Wing Multi-Engine,2002,2002-12-13,V,C
N710SK,CL-600-2C10,BOMBARDIER INC,Turbo-Fan,Fixed Wing Multi-Engine,2004,2005-10-17,V,C
N710SW,737-7H4,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1998,1998-04-29,V,C
N710TB,EMB-135LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2000,2000-02-11,V,C
N710TW,757-2Q8,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1997,1997-05-30,V,C
N710UW,A319-112,AIRBUS INDUSTRIE,Turbo-Jet,Fixed Wing Multi-Engine,1999,1999-05-27,V,C
N711HK,737-7H4,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1998,1998-05-04,V,C
N711PH,EMB-135LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2000,2000-03-16,V,C
N711UW,A319-112,AIRBUS INDUSTRIE,Turbo-Jet,Fixed Wing Multi-Engine,1999,1999-06-22,V,C
N711ZX,757-231,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1997,2001-10-05,V,C
N712AE,EMB-135LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,,2000-04-14,V,C
N712CA,CL-600-2B19,CANADAIR,Turbo-Jet,Fixed Wing Multi-Engine,1998,2008-01-09,V,C
N712EV,CL-600-2C10,BOMBARDIER INC,Turbo-Fan,Fixed Wing Multi-Engine,2002,2003-01-09,V,C
N712SK,CL-600-2C10,BOMBARDIER INC,Turbo-Fan,Fixed Wing Multi-Engine,2004,2005-10-24,V,C
N712SW,737-7H4,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1998,1998-07-08,V,C
N712TW,757-2Q8,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1997,2003-08-26,V,C
N712US,A319-112,AIRBUS INDUSTRIE,Turbo-Jet,Fixed Wing Multi-Engine,1999,1999-07-02,V,C
N713AE,EMB-135LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,,2000-04-17,V,C
N713AS,737-490,BOEING,Turbo-Jet,Fixed Wing Multi-Engine,1999,1999-05-25,V,C
N713CA,CL-600-2B19,CANADAIR,Turbo-Jet,Fixed Wing Multi-Engine,1998,2008-01-10,V,C
N713EV,CL-600-2C10,BOMBARDIER INC,Turbo-Fan,Fixed Wing Multi-Engine,2003,2003-02-19,V,C
N713SK,CL-600-2C10,BOMBARDIER INC,Turbo-Fan,Fixed Wing Multi-Engine,2004,2005-10-17,V,C
N713SW,737-7H4,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1998,1998-07-11,V,C
N713TW,757-2Q8,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1997,2003-11-25,V,C
N713UW,A319-112,AIRBUS INDUSTRIE,Turbo-Jet,Fixed Wing Multi-Engine,1999,1999-07-09,V,C
N71411,737-924,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,2002,2002-01-23,V,C
N714CB,737-7H4,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1998,1998-08-01,V,C
N714US,A319-112,AIRBUS INDUSTRIE,Turbo-Jet,Fixed Wing Multi-Engine,1999,1999-07-20,V,C
N715AE,EMB-135LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2000,2000-05-19,V,C
N715SF,CL-600-2B19,CANADAIR,Turbo-Jet,Fixed Wing Multi-Engine,1996,2003-01-13,V,C
N715SK,CL-600-2C10,BOMBARDIER INC,Turbo-Fan,Fixed Wing Multi-Engine,2004,2005-01-10,V,C
N715SW,737-7H4,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1998,1998-08-14,V,C
N715UW,A319-112,AIRBUS INDUSTRIE,Turbo-Jet,Fixed Wing Multi-Engine,1999,1999-08-04,V,C
N716AE,EMB-135LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2000,2000-05-22,V,C
N716CA,CL-600-2B19,CANADAIR,Turbo-Jet,Fixed Wing Multi-Engine,1998,2007-10-31,V,C
N716EV,CL-600-2C10,BOMBARDIER INC,Turbo-Fan,Fixed Wing Multi-Engine,2003,2003-01-31,V,C
N716SK,CL-600-2C10,BOMBARDIER INC,Turbo-Fan,Fixed Wing Multi-Engine,2004,2005-01-10,V,C
N716SW,737-7H4,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1998,1998-08-07,V,C
N716UW,A319-112,AIRBUS INDUSTRIE,Turbo-Jet,Fixed Wing Multi-Engine,1999,1999-08-04,V,C
N717AE,EMB-135LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,,2000-06-27,V,C
N717EV,CL-600-2C10,BOMBARDIER INC,Turbo-Fan,Fixed Wing Multi-Engine,2003,2003-03-19,V,C
N717JL,717-200,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,2002,2003-02-11,V,C
N717SA,737-7H4,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1998,1998-08-29,V,C
N717TW,757-231,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1999,1999-03-17,V,C
N717UW,A319-112,AIRBUS INDUSTRIE,Turbo-Jet,Fixed Wing Multi-Engine,1999,1999-09-17,V,C
N718AE,EMB-135LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,,2000-06-27,V,C
N718EV,CL-600-2C10,BOMBARDIER INC,Turbo-Fan,Fixed Wing Multi-Engine,2003,2003-05-09,V,C
N718SK,CL-600-2C10,BOMBARDIER INC,Turbo-Fan,Fixed Wing Multi-Engine,2004,2005-01-07,V,C
N718SW,737-7H4,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1998,1998-09-10,V,C
N718TW,757-231,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1999,1999-05-27,V,C
N719AE,EMB-135LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2000,2000-06-27,V,C
N719CA,CL-600-2B19,CANADAIR,Turbo-Jet,Fixed Wing Multi-Engine,1998,2008-03-06,V,F
N719EV,CL-600-2C10,BOMBARDIER INC,Turbo-Fan,Fixed Wing Multi-Engine,2003,2003-04-30,V,C
N719SK,CL-600-2C10,BOMBARDIER INC,Turbo-Fan,Fixed Wing Multi-Engine,2004,2005-01-07,V,C
N719SW,737-7H4,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1998,1998-09-18,V,C
N720AE,EMB-135LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2000,2000-07-06,V,C
N720EV,CL-600-2C10,BOMBARDIER INC,Turbo-Fan,Fixed Wing Multi-Engine,2003,2003-09-10,V,C
N720SW,CL-600-2B19,CANADAIR,Turbo-Jet,Fixed Wing Multi-Engine,1999,2007-08-15,V,C
N720WN,737-7H4,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1998,1998-11-09,V,C
N721CA,CL-600-2B19,CANADAIR,Turbo-Jet,Fixed Wing Multi-Engine,1998,2007-10-26,V,C
N721HS,EMB-135LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2000,2000-07-17,V,C
N721TW,757-231,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1999,1999-06-30,V,C
N721UW,A319-112,AIRBUS INDUSTRIE,Turbo-Jet,Fixed Wing Multi-Engine,1999,1999-10-22,V,C
N722AE,EMB-135LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2000,2000-07-17,V,C
N722EV,CL-600-2C10,BOMBARDIER INC,Turbo-Fan,Fixed Wing Multi-Engine,2003,2004-01-09,V,C
N722TW,757-231,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1999,1999-10-26,V,C
N722US,A319-112,AIRBUS INDUSTRIE,Turbo-Jet,Fixed Wing Multi-Engine,1999,1999-10-19,V,C
N723AE,EMB-135LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2000,2000-08-01,V,C
N723EV,CL-600-2C10,BOMBARDIER INC,Turbo-Fan,Fixed Wing Multi-Engine,2004,2004-01-23,V,C
N723SW,737-7H4,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1999,1999-03-22,V,C
N723UW,A319-112,AIRBUS INDUSTRIE,Turbo-Jet,Fixed Wing Multi-Engine,1999,1999-12-07,V,C
N72405,737-924,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,2001,2001-08-10,V,C
N724AE,EMB-135LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2000,2000-09-11,V,C
N724EV,CL-600-2C10,BOMBARDIER INC,Turbo-Fan,Fixed Wing Multi-Engine,2004,2004-03-18,V,C
N724SK,CL-600-2C10,BOMBARDIER INC,Turbo-Fan,Fixed Wing Multi-Engine,2004,2005-09-27,V,C
N724SW,737-7H4,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1999,1999-03-23,V,C
N724UW,A319-112,AIRBUS INDUSTRIE,Turbo-Jet,Fixed Wing Multi-Engine,1999,1999-11-23,V,C
N725AE,EMB-135LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2000,2000-09-18,V,C
N725SW,737-7H4,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1999,1999-03-30,V,C
N725UW,A319-112,AIRBUS INDUSTRIE,Turbo-Jet,Fixed Wing Multi-Engine,1999,1999-12-07,V,C
N7264V,CL-600-2B19,CANADAIR,Turbo-Jet,Fixed Wing Multi-Engine,1998,1999-12-28,V,C
N726AE,EMB-135LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2000,2000-10-04,V,C
N726SK,CL-600-2C10,BOMBARDIER INC,Turbo-Fan,Fixed Wing Multi-Engine,2005,2005-09-27,V,C
N726SW,737-7H4,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1999,1999-03-31,V,C
N727AE,EMB-135LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2000,2000-10-17,V,C
N727SK,CL-600-2C10,BOMBARDIER INC,Turbo-Fan,Fixed Wing Multi-Engine,2005,2005-09-27,V,C
N727SW,737-7H4,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1999,1999-06-21,V,C
N728AE,EMB-135LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2000,2000-10-20,V,C
N728SK,CL-600-2C10,BOMBARDIER INC,Turbo-Fan,Fixed Wing Multi-Engine,2005,2005-09-27,V,C
N728SW,737-7H4,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1999,1999-06-21,V,C
N7291Z,CL-600-2B19,CANADAIR,Turbo-Jet,Fixed Wing Multi-Engine,1999,1999-12-28,V,C
N729AE,EMB-135LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2000,2000-11-17,V,C
N729CA,CL-600-2B19,CANADAIR,Turbo-Jet,Fixed Wing Multi-Engine,1998,2008-05-15,V,F
N729SW,737-7H4,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1999,1999-06-23,V,C
N7305V,CL-600-2B19,CANADAIR,Turbo-Jet,Fixed Wing Multi-Engine,1999,1999-12-28,V,C
N730EV,CL-600-2C10,BOMBARDIER INC,Turbo-Fan,Fixed Wing Multi-Engine,2004,2004-04-08,V,C
N730KW,EMB-135LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2000,2000-11-29,V,C
N730SK,CL-600-2C10,BOMBARDIER INC,Turbo-Fan,Fixed Wing Multi-Engine,2005,2005-09-27,V,C
N730SW,737-7H4,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1999,1999-06-24,V,C
N730US,A319-112,AIRBUS INDUSTRIE,Turbo-Jet,Fixed Wing Multi-Engine,2000,2000-03-08,V,C
N73152,767-224,BOEING,Turbo-Jet,Fixed Wing Multi-Engine,2000,2000-11-22,V,C
N731BE,EMB-135LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2000,2000-12-18,V,C
N731SA,737-7H4,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1999,1999-08-16,V,C
N73251,737-824,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,2000,2000-09-05,V,C
N73256,737-824,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,2000,2000-10-31,V,C
N73259,737-824,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,2001,2001-05-25,V,C
N73270,737-824,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,2001,2001-10-12,V,C
N73275,737-824,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,2002,2002-02-26,V,C
N73276,737-824,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,2002,2002-02-28,V,C
N73278,737-824,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,,2003-10-09,V,C
N73283,737-824,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,2004,2004-02-26,V,C
N73291,737-824,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,2004,2004-11-24,V,C
N73299,737-824,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,2005,2005-11-29,V,C
N732DH,EMB-135LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2000,2000-12-21,V,C
N732SK,CL-600-2C10,BOMBARDIER INC,Turbo-Fan,Fixed Wing Multi-Engine,2005,2005-09-28,V,C
N732SW,737-7H4,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1999,1999-08-11,V,C
N732US,A319-112,AIRBUS INDUSTRIE,Turbo-Jet,Fixed Wing Multi-Engine,2000,2000-04-12,V,C
N733KR,EMB-135LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2001,2001-01-12,V,C
N733SA,737-7H4,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1999,1999-08-13,V,C
N733UW,A319-112,AIRBUS INDUSTRIE,Turbo-Jet,Fixed Wing Multi-Engine,2000,2000-04-11,V,C
N73406,737-924,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,2001,2001-09-11,V,C
N734EK,EMB-135LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2001,2001-01-22,V,C
N734SA,737-7H4,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1999,1999-08-17,V,C
N735CA,CL-600-2B19,CANADAIR,Turbo-Jet,Fixed Wing Multi-Engine,1998,2008-06-20,V,F
N735SA,737-7H4,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1999,1999-09-20,V,C
N735TS,EMB-135LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2001,2001-02-22,V,C
N736DT,EMB-135LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2001,2001-02-22,V,C
N736SA,737-7H4,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1999,1999-09-24,V,C
N737JW,737-7H4,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1999,1999-09-27,V,C
N737MW,EMB-135LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2001,2001-03-16,V,C
N737US,A319-112,AIRBUS INDUSTRIE,Turbo-Jet,Fixed Wing Multi-Engine,2000,2000-08-10,V,C
N738AL,737-73A,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1999,2008-07-07,V,C
N738CB,737-7H4,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1999,1999-09-29,V,C
N738EV,CL-600-2C10,BOMBARDIER INC,Turbo-Fan,Fixed Wing Multi-Engine,2004,2004-06-10,V,C
N738NR,EMB-135LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2001,2001-03-22,V,C
N738SK,CL-600-2C10,BOMBARDIER INC,Turbo-Fan,Fixed Wing Multi-Engine,2005,2005-09-28,V,C
N738US,A319-112,AIRBUS INDUSTRIE,Turbo-Jet,Fixed Wing Multi-Engine,2000,2000-08-10,V,C
N739AE,EMB-135LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2001,2001-03-22,V,C
N739AL,737-73A,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1999,2008-07-03,V,C
N739CA,CL-600-2B19,CANADAIR,Turbo-Jet,Fixed Wing Multi-Engine,1998,2007-10-18,V,C
N739GB,737-7H4,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1998,1999-01-26,V,C
N74007,777-224,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1999,1999-02-18,V,C
N740AL,737-76N,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,2001,2001-03-23,V,C
N740EV,CL-600-2C10,BOMBARDIER INC,Turbo-Fan,Fixed Wing Multi-Engine,2004,2004-07-14,V,C
N740SK,CL-600-2C10,BOMBARDIER INC,Turbo-Fan,Fixed Wing Multi-Engine,2005,2005-03-04,V,C
N740SW,737-7H4,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1998,1999-01-27,V,C
N740UW,A319-112,AIRBUS INDUSTRIE,Turbo-Jet,Fixed Wing Multi-Engine,2000,2000-08-10,V,C
N741AL,737-76N,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,2001,2001-03-30,V,C
N741EV,CL-600-2C10,BOMBARDIER INC,Turbo-Fan,Fixed Wing Multi-Engine,2004,2004-08-16,V,C
N741SA,737-7H4,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1998,1999-01-27,V,C
N741UW,A319-112,AIRBUS INDUSTRIE,Turbo-Jet,Fixed Wing Multi-Engine,2000,2000-08-11,V,C
N742AL,737-76N,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,2001,2001-05-25,V,C
N742PS,A319-112,AIRBUS INDUSTRIE,Turbo-Jet,Fixed Wing Multi-Engine,2000,2000-08-14,V,C
N742SK,CL-600-2C10,BOMBARDIER INC,Turbo-Fan,Fixed Wing Multi-Engine,2005,2005-03-04,V,C
N742SW,737-7H4,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1998,1999-02-10,V,C
N743SK,CL-600-2C10,BOMBARDIER INC,Turbo-Fan,Fixed Wing Multi-Engine,2005,2005-03-16,V,C
N743SW,737-7H4,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1998,1999-02-16,V,C
N744EV,CL-600-2C10,BOMBARDIER INC,Turbo-Fan,Fixed Wing Multi-Engine,2004,2004-07-23,V,C
N744P,A319-112,AIRBUS INDUSTRIE,Turbo-Jet,Fixed Wing Multi-Engine,2000,2000-08-11,V,C
N744SK,CL-600-2C10,BOMBARDIER INC,Turbo-Fan,Fixed Wing Multi-Engine,2005,2005-09-28,V,C
N744SW,737-7H4,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1999,1999-04-27,V,C
N745SK,CL-600-2C10,BOMBARDIER INC,Turbo-Fan,Fixed Wing Multi-Engine,2005,2005-09-28,V,C
N745SW,737-7H4,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1999,1999-05-01,V,C
N745VJ,A319-112,AIRBUS INDUSTRIE,Turbo-Jet,Fixed Wing Multi-Engine,2000,2000-08-23,V,C
N746AL,737-76N,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1999,2006-12-12,V,C
N746SK,CL-600-2C10,BOMBARDIER INC,Turbo-Fan,Fixed Wing Multi-Engine,2005,2005-09-30,V,C
N746SW,737-7H4,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1999,1999-07-31,V,C
N746UW,A319-112,AIRBUS INDUSTRIE,Turbo-Jet,Fixed Wing Multi-Engine,2000,2000-09-05,V,C
N747SA,737-7H4,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1999,1999-07-27,V,C
N747UW,A319-112,AIRBUS INDUSTRIE,Turbo-Jet,Fixed Wing Multi-Engine,2000,2000-09-05,V,C
N74856,757-324,BOEING,Turbo-Jet,Fixed Wing Multi-Engine,2004,2004-01-27,V,C
N748AL,737-76N,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1999,2007-11-19,V,C
N748EV,CL-600-2C10,BOMBARDIER INC,Turbo-Fan,Fixed Wing Multi-Engine,2004,2004-07-30,V,C
N748SK,CL-600-2C10,BOMBARDIER INC,Turbo-Fan,Fixed Wing Multi-Engine,2005,2005-09-30,V,C
N748SW,737-7H4,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1999,1999-09-01,V,C
N748UW,A319-112,AIRBUS INDUSTRIE,Turbo-Jet,Fixed Wing Multi-Engine,2000,2000-09-22,V,C
N749SW,737-7H4,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1999,1999-09-03,V,C
N749US,A319-112,AIRBUS INDUSTRIE,Turbo-Jet,Fixed Wing Multi-Engine,2000,2000-09-22,V,C
N750AT,757-212,BOEING,Turbo-Jet,Fixed Wing Multi-Engine,1984,1996-10-29,V,C
N750EV,CL-600-2C10,BOMBARDIER INC,Turbo-Fan,Fixed Wing Multi-Engine,2004,2004-09-02,V,C
N750NW,DC-9-41,DOUGLAS,Turbo-Jet,Fixed Wing Multi-Engine,1967,1996-05-03,V,C
N750SA,737-7H4,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1999,1999-10-25,V,C
N750SK,CL-600-2C10,BOMBARDIER INC,Turbo-Fan,Fixed Wing Multi-Engine,2005,2005-09-28,V,C
N750UW,A319-112,AIRBUS INDUSTRIE,Turbo-Jet,Fixed Wing Multi-Engine,2000,2000-09-27,V,C
N751AL,737-7Q8,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,2004,2004-06-03,V,C
N751AT,757-212,BOEING,Turbo-Jet,Fixed Wing Multi-Engine,1984,1997-01-09,V,C
N751EV,CL-600-2C10,BOMBARDIER INC,Turbo-Fan,Fixed Wing Multi-Engine,2004,2004-09-16,V,C
N751NW,DC-9-41,DOUGLAS,Turbo-Jet,Fixed Wing Multi-Engine,1968,1996-06-27,V,C
N751SK,CL-600-2C10,BOMBARDIER INC,Turbo-Fan,Fixed Wing Multi-Engine,2005,2005-09-28,V,C
N751SW,737-7H4,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1999,1999-10-20,V,C
N751UW,A319-112,AIRBUS INDUSTRIE,Turbo-Jet,Fixed Wing Multi-Engine,2000,2000-09-22,V,C
N752AT,757-212,BOEING,Turbo-Jet,Fixed Wing Multi-Engine,1984,1996-11-04,V,C
N752EV,CL-600-2C10,BOMBARDIER INC,Turbo-Fan,Fixed Wing Multi-Engine,,2004-12-10,V,C
N752NW,DC-9-41,DOUGLAS,Turbo-Jet,Fixed Wing Multi-Engine,1968,1996-07-01,V,C
N752SK,CL-600-2C10,BOMBARDIER INC,Turbo-Fan,Fixed Wing Multi-Engine,2005,2005-09-30,V,C
N752SW,737-7H4,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1999,1999-11-17,V,C
N752US,A319-112,AIRBUS INDUSTRIE,Turbo-Jet,Fixed Wing Multi-Engine,2000,2000-09-26,V,C
N753EV,CL-600-2C10,BOMBARDIER INC,Turbo-Fan,Fixed Wing Multi-Engine,2004,2004-10-01,V,C
N753NW,DC-9-41,DOUGLAS,Turbo-Jet,Fixed Wing Multi-Engine,1968,1996-05-03,V,C
N753SK,CL-600-2C10,BOMBARDIER INC,Turbo-Fan,Fixed Wing Multi-Engine,2005,2005-09-27,V,C
N753SW,737-7H4,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1999,1999-12-03,V,C
N753US,A319-112,AIRBUS INDUSTRIE,Turbo-Jet,Fixed Wing Multi-Engine,2000,2000-10-16,V,C
N75410,737-924,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,2001,2001-12-06,V,C
N754AS,737-4Q8,BOEING,Turbo-Jet,Fixed Wing Multi-Engine,1992,1995-12-22,V,C
N754EV,CL-600-2C10,BOMBARDIER INC,Turbo-Fan,Fixed Wing Multi-Engine,2004,2004-11-23,V,C
N754NW,DC-9-41,DOUGLAS,Turbo-Jet,Fixed Wing Multi-Engine,1968,1996-05-07,V,C
